"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 05 19:06:16 UTC 2025","Fri Sep 05 19:06:16 UTC 2025","118","Surefire suite","Surefire test","org.catalyte.io.tests.scenarios.HireApprenticeSectionTests","org.catalyte.io.tests.scenarios.HireApprenticeSectionTests","testImagesExistLenient","testImagesExistLenient",""
"broken","Tue Sep 02 20:53:18 UTC 2025","Tue Sep 02 20:53:18 UTC 2025","1","Default Suite","CatalyteTests","org.catalyte.io.tests.scenarios.HireApprenticeSectionTests","org.catalyte.io.tests.scenarios.HireApprenticeSectionTests","setUpBase","setUpBase",""
"passed","Fri Sep 05 19:06:12 UTC 2025","Fri Sep 05 19:06:13 UTC 2025","1289","Surefire suite","Surefire test","org.catalyte.io.tests.scenarios.HireApprenticeSectionTests","org.catalyte.io.tests.scenarios.HireApprenticeSectionTests","faqAccordion_ExistsAndDisplaysExpectedText","faqAccordion_ExistsAndDisplaysExpectedText",""
"passed","Fri Sep 05 19:06:14 UTC 2025","Fri Sep 05 19:06:15 UTC 2025","980","Surefire suite","Surefire test","org.catalyte.io.tests.scenarios.HireApprenticeSectionTests","org.catalyte.io.tests.scenarios.HireApprenticeSectionTests","testAllFaqsButtonDisplayedAndFunctionsLenient","testAllFaqsButtonDisplayedAndFunctionsLenient",""
"passed","Fri Sep 05 19:06:09 UTC 2025","Fri Sep 05 19:06:09 UTC 2025","169","Surefire suite","Surefire test","org.catalyte.io.tests.scenarios.ApprenticeshipsPageTests","org.catalyte.io.tests.scenarios.ApprenticeshipsPageTests","verifyAllOpportunityMetricsElementsPresent","verifyAllOpportunityMetricsElementsPresent",""
"passed","Fri Sep 05 19:06:08 UTC 2025","Fri Sep 05 19:06:08 UTC 2025","126","Surefire suite","Surefire test","org.catalyte.io.tests.scenarios.ApprenticeshipsPageTests","org.catalyte.io.tests.scenarios.ApprenticeshipsPageTests","verifyAllKeyElementsOfHowItWorksSectionPresent","verifyAllKeyElementsOfHowItWorksSectionPresent",""
"passed","Fri Aug 29 16:15:07 UTC 2025","Fri Aug 29 16:15:08 UTC 2025","305","Default Suite","CatalyteTests","org.catalyte.io.tests.scenarios.ApprenticeshipsPageTests","org.catalyte.io.tests.scenarios.ApprenticeshipsPageTests","verifyAllKeyElementsPresent","verifyAllKeyElementsPresent",""
"broken","Fri Sep 05 18:17:01 UTC 2025","Fri Sep 05 18:17:21 UTC 2025","20258","Default Suite","CatalyteTests","org.catalyte.io.tests.scenarios.HireApprenticeSectionTests","org.catalyte.io.tests.scenarios.HireApprenticeSectionTests","faqAccordion_DisplaysExpectedText","faqAccordion_DisplaysExpectedText",""
"passed","Fri Sep 05 19:06:17 UTC 2025","Fri Sep 05 19:06:18 UTC 2025","954","Surefire suite","Surefire test","org.catalyte.io.tests.scenarios.HireApprenticeSectionTests","org.catalyte.io.tests.scenarios.HireApprenticeSectionTests","testWorkWithUsButtonDisplayedAndFunctionsLenient","testWorkWithUsButtonDisplayedAndFunctionsLenient",""
"passed","Fri Sep 05 19:05:45 UTC 2025","Fri Sep 05 19:05:47 UTC 2025","1751","Surefire suite","Surefire test","org.catalyte.io.tests.scenarios.ApprenticeshipsPageTests","org.catalyte.io.tests.scenarios.ApprenticeshipsPageTests","faqAccordion_DisplaysExpectedText","faqAccordion_DisplaysExpectedText",""
"passed","Fri Sep 05 19:05:39 UTC 2025","Fri Sep 05 19:05:41 UTC 2025","1971","Surefire suite","Surefire test","org.catalyte.io.tests.unit.HomepageDOMComparisonTest","org.catalyte.io.tests.unit.HomepageDOMComparisonTest","compareBaselineWithLivePageLenientThreshold","compareBaselineWithLivePageLenientThreshold",""
"passed","Fri Sep 05 19:06:06 UTC 2025","Fri Sep 05 19:06:07 UTC 2025","1015","Surefire suite","Surefire test","org.catalyte.io.tests.scenarios.ApprenticeshipsPageTests","org.catalyte.io.tests.scenarios.ApprenticeshipsPageTests","testAllFaqsButtonDisplayedAndFunctionsLenient","testAllFaqsButtonDisplayedAndFunctionsLenient",""
"passed","Fri Sep 05 19:06:17 UTC 2025","Fri Sep 05 19:06:17 UTC 2025","90","Surefire suite","Surefire test","org.catalyte.io.tests.scenarios.HireApprenticeSectionTests","org.catalyte.io.tests.scenarios.HireApprenticeSectionTests","testVideosExistLenient","testVideosExistLenient",""
"passed","Fri Sep 05 19:05:48 UTC 2025","Fri Sep 05 19:06:05 UTC 2025","17453","Surefire suite","Surefire test","org.catalyte.io.tests.scenarios.ApprenticeshipsPageTests","org.catalyte.io.tests.scenarios.ApprenticeshipsPageTests","regressionTestForAllApprenticeshipLinks_CheckNavigationFunctionality","regressionTestForAllApprenticeshipLinks_CheckNavigationFunctionality",""
"passed","Wed Sep 03 18:53:30 UTC 2025","Wed Sep 03 18:53:30 UTC 2025","85","Surefire suite","Surefire test","org.catalyte.io.tests.scenarios.HireApprenticeSectionTests","org.catalyte.io.tests.scenarios.HireApprenticeSectionTests","testAccordionsExistLenient","testAccordionsExistLenient",""
"passed","Fri Sep 05 19:06:16 UTC 2025","Fri Sep 05 19:06:16 UTC 2025","17","Surefire suite","Surefire test","org.catalyte.io.tests.scenarios.HireApprenticeSectionTests","org.catalyte.io.tests.scenarios.HireApprenticeSectionTests","testMenuTextItemsLenient","testMenuTextItemsLenient",""
"broken","Wed Sep 03 18:29:50 UTC 2025","Wed Sep 03 18:29:50 UTC 2025","2","Surefire suite","Surefire test","org.catalyte.io.tests.scenarios.ApprenticeshipsPageTests","org.catalyte.io.tests.scenarios.ApprenticeshipsPageTests","setUp","setUp",""
